,,,,,,,Wing 50%,,,,Wing 80%,,,,Wing 100%,,,,Wing Wide,,,,Wing Thin,
,,,,Delay,no spring,Spring soft,Spring Medium,Spring Hard,no spring,Spring soft,Spring Medium,Spring Hard,No spring,Spring soft,Spring Medium,Spring Hard,No spring,Spring soft,Spring Medium,Spring Hard,No spring,Spring soft,Spring Medium,Spring Hard
,,,Lift,150,"0,17","0,19","0,10","0,41",--,"0,13",--,--,--,--,--,--,--,--,--,--,,,,
,,,Freq,150,"24,00","21,80","24,00","21,80",,,,,,,,,,,,,,,,
,,,Stroke Plane,150,"4,30","19,90","34,60","31,33",,,,,,,,,,,,,,,,
,,,Lift,200,"0,29","0,45","0,65","0,30",--,"0,1 - 0,3",--,--,--,--,--,--,--,--,--,--,,,,
,,,Freq,200,"18,50","17,10","17,10","18,50",,"17,10",,,,,,,,,,,,,,
,,,Stroke Plane,200,"24,60","72,10","69,00","41,50",,"23,60",,,,,,,,,,,,,,
,,,Lift,300,"0,70","0,52","0,44","0,05","0,37","0,49","0,30","0,32","0,50","0,2 - 0,4",--,--,--,--,--,--,,,,
,,,Freq,300,"12,00","12,60","12,60","12,60","12,00","13,30","12,60",,,"13,30",,,,,,,,,,
,,,Stroke Plane,300,"95,10","83,90","78,70","24,70","16,50","23,00","40,40",,,"18,00",,,,,,,,,,
,,,Lift,Peak,"0,72","0,60","0,85","0,52","0,70","1,39","0,93","0,40","0,50","1,30","0,39",No peak,"0,90","0,80","0,50",No peak,,,,
,,,Freq,Peak,"13,30","12,60","15,00","21,80","8,30","8,00","8,90",,,"4,90",,,,,"8,90",,,,,
,,,Stroke Plane,Peak,"84,30","82,00","62,90","37,80","69,00","85,50","71,20",,,"85,00",,,,,"59,80",,,,,
,,,Delay,Peak delay,,"270,00","220,00","165,00",,"495,00","425,00","300,00","300,00","795,00","870,00",,"500,00","500,00","435,00",,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,--,oläsbart värde,,,,,,,,,,,,,,,,,,,,,
,,,Osäkert värde efter beräkning,,,,,,,,,,,,,,,,,,,,,
,,,Se notering under strokeplane calculation,,,,,,,,,,,,,,,,,,,,,
,,,Oregel bundet beteende - ej avläsbart,,,,,,,,,,,,,,,,,,,,,